video_id,start_s,end_s,caption
001e3e4e-2743-47fc-8564-d5efd11f9e90,2.561,7.873,#C C picks a laundry bag with dirty laundry
001e3e4e-2743-47fc-8564-d5efd11f9e90,2.561,7.873,#C C picks a bag of clothes from the floor
001e3e4e-2743-47fc-8564-d5efd11f9e90,15.192,16.821,#C C walks towards the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,9.537,12.187,#C C walks out of the bedroom
001e3e4e-2743-47fc-8564-d5efd11f9e90,17.265,18.669,#C C opens the cabinet door with leg
001e3e4e-2743-47fc-8564-d5efd11f9e90,18.698,20.854,#C C places the bag of clothes on the floor
001e3e4e-2743-47fc-8564-d5efd11f9e90,18.698,20.854,#C C puts the laundry bag on the ground
001e3e4e-2743-47fc-8564-d5efd11f9e90,21.675,22.872,#C C opens the washing machine door
001e3e4e-2743-47fc-8564-d5efd11f9e90,21.675,22.872,#C C opens the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,25.368,31.454,#C C puts clothes in the washing machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,25.368,31.454,#C C loads the laundry machine with dirty laundry
001e3e4e-2743-47fc-8564-d5efd11f9e90,32.922,37.722,#C C hooks the bra
001e3e4e-2743-47fc-8564-d5efd11f9e90,32.922,37.722,#C C buttons a cloth
001e3e4e-2743-47fc-8564-d5efd11f9e90,38.587,39.536,#C C opens the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,38.587,39.536,#C C unzips a bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,41.754,46.187,#C C puts bra in the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,41.754,46.621,#C C puts some cloths inside the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,46.754,52.104,#C C puts clothes in the washing machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,46.754,52.104,#C C puts dirty laundry inside the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,54.472,57.309,#C C puts inner wears in the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,54.472,57.309,#C C adds some more clothes inside the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,60.721,63.157,#C C puts clothes in the washing machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,60.721,63.157,#C C puts dirty laundry inside the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,65.482,67.254,#C C puts inner wears in the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,65.956,67.254,#C C puts a cloth inside the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,74.378,77.954,#C C adds some more clothes inside the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,77.499,79.16,#C C closes the bag's zip
001e3e4e-2743-47fc-8564-d5efd11f9e90,77.499,79.16,#C C zips the bag
001e3e4e-2743-47fc-8564-d5efd11f9e90,79.202,80.589,#C C puts the bag in the washing machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,79.202,80.589,#C C puts the bag inside the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,79.992,81.992,#C C picks clothes from the bag on the floor
001e3e4e-2743-47fc-8564-d5efd11f9e90,81.467,85.122,#C C puts clothes in the washing machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,81.467,85.122,#C C adds some more dirty laundry inside the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,88.376,90.277,#C C pulls the bag away
001e3e4e-2743-47fc-8564-d5efd11f9e90,88.376,90.277,#C C moves the laundry bag on the floor
001e3e4e-2743-47fc-8564-d5efd11f9e90,89.902,90.887,#C C opens the cabinet door
001e3e4e-2743-47fc-8564-d5efd11f9e90,91.109,92.197,#C C picks a bottle of detergent
001e3e4e-2743-47fc-8564-d5efd11f9e90,111.826,114.687,#C C closes the laundry machine
001e3e4e-2743-47fc-8564-d5efd11f9e90,91.877,92.88,#C C takes a measuring cup
001e3e4e-2743-47fc-8564-d5efd11f9e90,91.109,92.197,#C C picks a bottle of soap from the cupboard
