,test_vis_ndcg,test_txt_ndcg,test_vis_map,test_txt_map,test_charades_ego_mAP,test_egtea_top_1_accuracy,test_egtea_mean_class_accuracy
DUAL_ENCODER_IoU_0.005_NOUN_AND_VERBS_DAIS,31.193327961419882,28.198410836524772,31.51738189689384,24.40333461201078,22.404167012377737,31.966403162055336,26.613312420715474
DUAL_ENCODER_IoU_0.01_NOUN_AND_VERBS_DAIS,31.21686549297764,27.681819253585317,31.61580724089031,23.93352970560571,22.337102422567355,27.42094861660079,26.22376139154918
DUAL_ENCODER_IoU_0.02_NOUN_AND_VERBS_DAIS,31.18924170525262,27.70526301714753,30.987773421516334,23.774868505923557,22.761747695001926,21.492094861660078,21.934282256002742
DUAL_ENCODER_IoU_0.015_NOUN_AND_VERBS_DAIS,30.933324859590815,27.86789328043752,31.36973184478481,24.070807301282766,22.607391725041794,26.679841897233203,24.867854848449184
DUAL_ENCODER_IoU_0.025_NOUN_AND_VERBS_DAIS,30.76204324122645,27.701572788800767,30.570339242317928,23.846572397640603,22.25074544589129,28.3102766798419,26.630540424684284
DUAL_ENCODER_IoU_0.03_NOUN_AND_VERBS_DAIS,30.97024567682188,27.99725352043393,31.631894742201666,24.316507871177645,22.821058626481115,28.952569169960473,25.555627093222753
DUAL_ENCODER_IoU_0.01_NOUN_AND_VERBS_FROM_SCALED_2.1_DAIS,31.623034864336358,28.470304144342578,32.36324419989586,24.603633568678408,22.652139321873204,30.23715415019763,26.381005180881633
DUAL_ENCODER_IoU_0.015_NOUN_AND_VERBS_FROM_SCALED_2.1_DAIS,30.44869763890883,28.04873473086134,31.073688261618077,24.621758114095655,23.091587509868393,28.112648221343875,26.07209577915911
DUAL_ENCODER_IoU_0.02_NOUN_AND_VERBS_FROM_SCALED_2.1_DAIS,30.495192050376964,27.744472486465465,31.42562048144618,24.289236960198057,23.178917679497022,28.606719367588934,25.35656865236895
DUAL_ENCODER_IoU_0.025_NOUN_AND_VERBS_FROM_SCALED_2.1_DAIS,30.86933867783011,28.2192213074024,31.90356608918407,24.77316553940694,23.32410149995481,28.952569169960473,26.445379588960904
DUAL_ENCODER_IoU_0.03_NOUN_AND_VERBS_FROM_SCALED_2.1_DAIS,30.621232040012874,27.94022455283745,31.456235736187786,24.196750066214378,23.010336503482428,26.18577075098814,24.502043622099386
baseline,30.779011078353935,27.878159822178546,30.893064887446464,24.089609448674224,22.156126927914574,28.90316205533597,25.125775426262877
